Robot; nTask; A; B; C; totDist; interference;Time 
0;2;2;0;0;66031;34;81.70
1;2;2;0;0;66944;40;81.70
2;2;2;0;0;67023;27;81.70
3;0;1;0;0;32766;27;81.70
