Robot; nTask; A; B; C; totDist; interference;Time 
0;2;2;0;0;66058;34;100.10
1;2;2;0;0;67118;37;100.10
2;2;2;0;0;35862;39;100.10
3;1;1;0;0;65354;22;100.10
