Robot; nTask; A; B; C; totDist; interference;Time 
0;3;3;0;0;68215;20;202.50
1;3;3;0;0;68059;20;202.50
0;-1;0;0;0;0;0;202.50
0;-1;0;0;0;0;0;202.50
