Robot; nTask; A; B; C; totDist; interference;Time 
0;3;3;0;0;68045;59;195.80
1;3;2;0;0;99244;60;195.80
0;-1;0;0;0;0;0;195.80
0;-1;0;0;0;0;0;195.80
