Robot; nTask; A; B; C; totDist; interference;Time 
0;3;3;0;0;68025;20;197.00
1;3;3;0;0;68022;21;197.00
0;-1;0;0;0;0;0;197.00
0;-1;0;0;0;0;0;197.00
