Robot; nTask; A; B; C; totDist; interference;Time 
0;4;4;0;0;69649;83;229.20
1;3;3;0;0;67995;67;229.20
0;-1;0;0;0;0;0;229.20
0;-1;0;0;0;0;0;229.20
