Robot; nTask; A; B; C; totDist; interference;Time 
0;4;4;0;0;69788;78;229.10
1;3;3;0;0;68050;61;229.10
0;-1;0;0;0;0;0;229.10
0;-1;0;0;0;0;0;229.10
