Robot; nTask; A; B; C; totDist; interference;Time 
0;3;2;1;0;67264;46;135.30
1;3;2;0;1;67438;48;135.30
2;2;1;0;0;98034;36;135.30
3;2;1;0;1;66789;42;135.30
