Robot; nTask; A; B; C; totDist; interference;Time 
0;3;2;1;0;67108;30;120.10
1;3;2;0;1;67441;37;120.10
2;2;1;1;0;66565;24;120.10
3;2;1;0;1;34207;27;120.10
