Robot; nTask; A; B; C; totDist; interference;Time 
0;3;2;1;0;67258;36;135.40
1;3;2;0;1;67447;42;135.40
2;2;1;1;0;66566;35;135.40
3;2;1;0;1;34207;30;135.40
