Robot; nTask; A; B; C; totDist; interference;Time 
0;3;2;1;0;67089;30;120.70
1;3;2;0;1;35574;39;120.70
2;2;1;1;0;66438;28;120.70
3;2;0;0;2;35559;35;120.70
