Robot, nTask, A, B, C, totDist, interference,Time 
0,6,3,1,2,72518,0,398.3
1,8,3,3,2,72869,15,398.3
2,7,3,2,2,73275,75,398.3
3,6,0,3,3,72233,76,398.3
,27,9,9,9,,,
