Robot, nTask, A, B, C, totDist, interference,Time 
0,8,3,4,1,73942,0,410.9
1,7,3,1,3,72784,36,410.9
2,6,0,3,3,71810,58,410.9
3,6,3,1,2,71829,68,410.9
,27,9,9,9,290365,,
