Robot; nTask; A; B; C; totDist; interference;Time 
0;2;2;0;0;66787;30;114.40
1;2;2;0;0;66845;23;114.40
2;2;2;0;0;66672;45;114.40
3;2;2;0;0;66573;35;114.40
