Robot; nTask; A; B; C; totDist; interference;Time 
0;2;2;0;0;35627;29;113.60
1;2;2;0;0;66838;28;113.60
2;2;2;0;0;66573;36;113.60
3;2;2;0;0;66586;34;113.60
