Robot; nTask; A; B; C; totDist; interference;Time 
0;2;2;0;0;66735;36;121.30
1;2;2;0;0;66754;31;121.30
2;2;2;0;0;66613;34;121.30
3;2;2;0;0;66554;32;121.30
