Robot; nTask; A; B; C; totDist; interference;Time 
0;2;2;0;0;66799;36;122.60
1;2;2;0;0;66898;47;122.60
2;2;2;0;0;66687;46;122.60
3;2;2;0;0;66569;38;122.60
