Robot, nTask, A, B, C, totDist, interference,Time 
0,7,3,2,2,72352,0,399.2
1,7,2,3,2,73141,54,399.2
2,7,2,2,3,73190,56,399.2
3,6,2,2,2,71815,63,399.2
,27,9,9,9,290498,,
