Robot, nTask, A, B, C, totDist, interference,Time 
0,7,3,1,3,103663,0,389.8
1,6,2,2,2,103584,45,389.8
2,7,2,3,2,73127,53,389.8
3,7,2,3,2,72036,59,389.8
,27,9,9,9,352410,,
