Robot, nTask, A, B, C, totDist, interference,Time 
0,7,2,2,3,72577,0,362.7
1,7,3,2,2,103978,16,362.7
2,7,2,3,2,73331,54,362.7
3,6,2,2,2,71869,48,362.7
,27,9,9,9,321755,,
