Robot, nTask, A, B, C, totDist, interference,Time 
0,7,3,1,3,72345,0,401.1
1,7,3,4,0,72917,35,401.1
2,5,0,2,3,73305,76,401.1
3,8,3,2,3,102992,69,401.1
,27,9,9,9,321559,,
