Robot; nTask; A; B; C; totDist; interference;Time 
0;2;2;0;0;35063;21;98.70
1;2;2;0;0;66765;34;98.70
2;2;2;0;0;66734;38;98.70
3;2;2;0;0;66804;22;98.70
