Robot; nTask; A; B; C; totDist; interference;Time 
0;2;2;0;0;66556;34;125.00
1;2;2;0;0;66830;46;125.00
2;2;2;0;0;66550;32;125.00
3;2;2;0;0;66928;41;125.00
