Robot; nTask; A; B; C; totDist; interference;Time 
0;2;2;0;0;66655;42;120.10
1;2;2;0;0;66822;30;120.10
2;2;1;0;0;98033;32;120.10
3;2;2;0;0;66939;36;120.10
