Robot; nTask; A; B; C; totDist; interference;Time 
0;3;3;0;0;67639;56;180.20
1;3;3;0;0;68686;53;180.20
0;-1;0;0;0;0;0;180.20
0;-1;0;0;0;0;0;180.20
