Robot; nTask; A; B; C; totDist; interference;Time 
0;3;3;0;0;67834;41;165.10
1;2;3;0;0;36076;62;165.10
0;-1;0;0;0;0;0;165.10
0;-1;0;0;0;0;0;165.10
