Robot; nTask; A; B; C; totDist; interference;Time 
0;2;2;0;0;66953;32;95.10
1;2;2;0;0;67041;34;95.10
2;2;2;0;0;66802;36;95.10
3;1;1;0;0;65368;14;95.10
