Robot; nTask; A; B; C; totDist; interference;Time 
0;2;2;0;0;66737;34;84.40
1;2;2;0;0;67062;39;84.40
2;2;2;0;0;66663;35;84.40
3;1;1;0;0;65458;12;84.40
