Robot; nTask; A; B; C; totDist; interference;Time 
0;2;2;0;0;35488;25;85.50
1;2;2;0;0;67018;30;85.50
2;2;2;0;0;66575;35;85.50
3;1;1;0;0;32766;11;85.50
