Robot; nTask; A; B; C; totDist; interference;Time 
0;2;2;0;0;66893;23;92.80
1;2;2;0;0;67074;44;92.80
2;2;2;0;0;66607;36;92.80
3;1;1;0;0;65347;13;92.80
