Robot; nTask; A; B; C; totDist; interference;Time 
0;2;2;0;0;66884;44;109.20
1;2;2;0;0;66959;29;109.20
2;2;2;0;0;66664;30;109.20
3;1;1;0;0;65500;23;109.20
