Robot; nTask; A; B; C; totDist; interference;Time 
0;4;2;1;1;68594;46;203.10
1;4;2;1;1;68566;55;203.10
0;-1;0;0;0;0;0;203.10
0;-1;0;0;0;0;0;203.10
