Robot; nTask; A; B; C; totDist; interference;Time 
0;4;2;1;1;68683;45;202.30
1;4;1;2;1;68985;54;202.30
0;-1;0;0;0;0;0;202.30
0;-1;0;0;0;0;0;202.30
