Robot, nTask, A, B, C, totDist, interference,Time 
0,3,2,1,0,67264,46,135.3
1,3,2,0,1,67438,48,135.3
2,2,1,0,0,98034,36,135.3
3,2,1,0,1,66789,42,135.3
