Robot; nTask; A; B; C; totDist; interference;Time 
0;3;2;1;0;67150;41;111.10
1;3;2;0;1;67504;48;111.10
2;2;1;1;0;66444;19;111.10
3;2;1;0;1;66892;26;111.10
