Robot; nTask; A; B; C; totDist; interference;Time 
0;6;3;1;2;70617;107;290.50
1;5;2;2;1;69776;79;290.50
0;-1;0;0;0;0;0;290.50
0;-1;0;0;0;0;0;290.50
