Robot; nTask; A; B; C; totDist; interference;Time 
0;6;3;1;2;38085;87;289.40
1;5;2;1;2;70030;75;289.40
0;-1;0;0;0;0;0;289.40
0;-1;0;0;0;0;0;289.40
