Robot; nTask; A; B; C; totDist; interference;Time 
0;6;3;1;2;70801;83;301.20
1;5;2;1;1;101332;88;301.20
0;-1;0;0;0;0;0;301.20
0;-1;0;0;0;0;0;301.20
