Robot; nTask; A; B; C; totDist; interference;Time 
0;4;2;0;2;68891;41;199.70
1;4;2;1;1;36401;48;199.70
0;-1;0;0;0;0;0;199.70
0;-1;0;0;0;0;0;199.70
